               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.034597,           0.0077919,            0.003627,             0.89994,             0.85756,             0.88613,             0.54494,            0.034943,           0.0086708,           0.0078406,            0.006304,            0.006304,            0.006304
                 114,            0.036189,           0.0080853,           0.0039363,             0.92999,             0.85097,             0.88665,             0.55152,            0.035081,           0.0085583,           0.0069358,            0.006271,            0.006271,            0.006271
                 115,            0.034185,           0.0078873,           0.0037339,             0.91218,             0.78497,             0.84217,             0.54198,            0.035042,            0.008523,           0.0067906,            0.006238,            0.006238,            0.006238
                 116,            0.034826,           0.0081729,           0.0039113,             0.93323,             0.81993,             0.86882,              0.5456,            0.034249,           0.0083942,           0.0069554,            0.006205,            0.006205,            0.006205
                 117,            0.034242,           0.0076223,           0.0046522,             0.87266,             0.82532,             0.86093,             0.54127,            0.035162,           0.0084906,           0.0084631,            0.006172,            0.006172,            0.006172
                 118,            0.034384,           0.0077904,           0.0040043,             0.89559,             0.79914,              0.8514,             0.54205,            0.035604,           0.0085058,           0.0089939,            0.006139,            0.006139,            0.006139
                 119,             0.03325,           0.0075307,           0.0035376,             0.89319,             0.83364,             0.86844,             0.53304,            0.034724,           0.0084372,           0.0080781,            0.006106,            0.006106,            0.006106
                 120,            0.034811,           0.0076147,           0.0038283,             0.91378,             0.81388,             0.87829,             0.54529,            0.034657,           0.0084839,           0.0077426,            0.006073,            0.006073,            0.006073
                 121,            0.033924,            0.007893,           0.0040569,             0.90137,             0.80172,              0.8578,             0.56644,            0.033978,           0.0084505,           0.0082135,             0.00604,             0.00604,             0.00604
                 122,            0.034128,           0.0081299,           0.0039236,             0.91867,             0.80546,             0.86405,             0.55309,            0.035446,            0.008502,           0.0082407,            0.006007,            0.006007,            0.006007
                 123,            0.033032,           0.0077234,           0.0035885,             0.90959,             0.84064,             0.86846,             0.55146,            0.034979,           0.0083532,           0.0090835,            0.005974,            0.005974,            0.005974
                 124,            0.034382,           0.0079787,           0.0040648,             0.90515,             0.81026,             0.85602,             0.53182,            0.035723,           0.0085473,            0.010059,            0.005941,            0.005941,            0.005941
                 125,            0.033238,           0.0073081,           0.0037503,             0.91243,             0.80879,             0.87038,             0.54121,            0.034548,            0.008543,            0.010489,            0.005908,            0.005908,            0.005908
                 126,            0.033208,           0.0081932,            0.003535,             0.89672,             0.80481,              0.8581,             0.53632,            0.034347,           0.0086079,           0.0097203,            0.005875,            0.005875,            0.005875
                 127,            0.032955,           0.0077302,           0.0035464,              0.9042,             0.79611,             0.86327,             0.51295,             0.03579,            0.008646,           0.0089686,            0.005842,            0.005842,            0.005842
                 128,            0.033851,           0.0084771,           0.0038544,             0.94533,              0.8024,               0.873,             0.53472,            0.035616,           0.0087767,           0.0090325,            0.005809,            0.005809,            0.005809
                 129,            0.033145,           0.0074872,           0.0038469,             0.87342,             0.84101,             0.87769,             0.54094,            0.034709,           0.0086498,           0.0088837,            0.005776,            0.005776,            0.005776
                 130,            0.033022,           0.0073895,           0.0034885,             0.94945,             0.80562,             0.87077,             0.52577,            0.035518,           0.0086203,           0.0087953,            0.005743,            0.005743,            0.005743
                 131,            0.032912,           0.0080305,           0.0037285,              0.9065,             0.81297,             0.85128,             0.52471,            0.034296,            0.008544,           0.0089471,             0.00571,             0.00571,             0.00571
                 132,            0.033704,            0.007163,           0.0034623,             0.91703,             0.82446,             0.86171,              0.5474,            0.034786,            0.008894,           0.0088358,            0.005677,            0.005677,            0.005677
